date,tavg,tmin,tmax,trange,DIF,rain,rad,sunrise,sunset,suntime
20231221,-6.1,-8.76,-0.9,7.9,2.2,0.0,1.4,07:37:00,17:20:00,09:43:00
20231222,-6.1,-9.54,-1.22,8.3,2.5,0.0,1.6,07:38:00,17:21:00,09:43:00
20231222,-6.1,-9.54,-1.22,8.3,2.5,0.0,1.6,07:38:00,17:21:00,09:43:00
20231223,-2.6,-7.83,5.27,13.1,4.8,0.0,1.6,07:38:00,17:21:00,09:43:00
20231223,-2.6,-7.83,5.27,13.1,4.8,0.0,1.6,07:38:00,17:21:00,09:43:00
20231224,0.4,-2.17,6.9,9.1,3.4,1.778,1.2,07:39:00,17:22:00,09:43:00
20231224,0.4,-2.17,6.9,9.1,3.4,1.778,1.2,07:39:00,17:22:00,09:43:00
20231225,1.2,-1.59,7.1,8.7,2.9,0.762,1.1,07:39:00,17:22:00,09:43:00
20231225,1.2,-1.59,7.1,8.7,2.9,0.762,1.1,07:39:00,17:22:00,09:43:00
20231226,3.8,0.75,9.64,8.9,3.5,0.0,1.0,07:39:00,17:23:00,09:44:00
20231226,3.8,0.75,9.64,8.9,3.5,0.0,1.0,07:39:00,17:23:00,09:44:00
20231227,4.5,0.89,11.24,10.3,4.6,0.0,1.4,07:40:00,17:24:00,09:44:00
20231227,4.5,0.89,11.24,10.3,4.6,0.0,1.4,07:40:00,17:24:00,09:44:00
20231228,3.4,-0.98,10.3,11.3,4.4,0.0,1.4,07:40:00,17:24:00,09:44:00
20231228,3.4,-0.98,10.3,11.3,4.4,0.0,1.4,07:40:00,17:24:00,09:44:00
20231229,3.1,-0.86,10.02,10.9,4.6,0.0,1.3,07:41:00,17:25:00,09:44:00
20231229,3.1,-0.86,10.02,10.9,4.6,0.0,1.3,07:41:00,17:25:00,09:44:00
20231230,3.5,-1.17,8.76,9.9,1.2,1.016,0.5,07:41:00,17:26:00,09:45:00
20231230,3.5,-1.17,8.76,9.9,1.2,1.016,0.5,07:41:00,17:26:00,09:45:00
20231231,6.0,4.14,8.74,4.6,-0.6,2.54,0.2,07:41:00,17:26:00,09:45:00
20231231,6.0,4.14,8.74,4.6,-0.6,2.54,0.2,07:41:00,17:26:00,09:45:00
